payment_id,transaction_reference,merchant_name,invoice_id,payment_date,amount,currency
PAY-0042,ORD-2026-00042,Cedar & Finch Market,INV-00042,2026-02-15,258.04,USD
PAY-0043,ORD-2026-00043,Blue Harbor Supplies,INV-00043,2026-02-16,552.99,USD
PAY-0044,ORD-2026-00044,Maple Street Cafe,INV-00044,2026-02-17,187.48,USD
PAY-0045,ORD-2026-00045,Silverline Software,INV-00045,2026-02-18,284.72,USD
PAY-0046,ORD-2026-00046,Bright Orchard Goods,INV-00046,2026-02-19,578.73,USD
PAY-0047,ORD-2026-00047,Juniper Home Studio,INV-00047,2026-02-20,734.36,USD
PAY-0048,ORD-2026-00048,Redwood Bicycle Co,INV-00048,2026-02-21,812.54,USD
PAY-0049,ORD-2026-00049,Northstar Books,INV-00049,2026-02-22,635.47,USD
PAY-0050,ORD-2026-00050,Cedar & Finch Market,INV-00050,2026-02-23,630.05,USD
PAY-0051,ORD-2026-00051,Blue Harbor Supplies,INV-00051,2026-02-24,252.24,USD
PAY-0052,ORD-2026-00052,Maple Street Cafe,INV-00052,2026-02-25,781.74,USD
PAY-0053,ORD-2026-00053,Silverline Software,INV-00053,2026-02-26,326.82,USD
PAY-0054,ORD-2026-00054,Bright Orchard Goods,INV-00054,2026-02-27,476.87,USD
PAY-0055,ORD-2026-00055,Juniper Home Studio,INV-00055,2026-02-28,794.33,USD
PAY-0056,ORD-2026-00056,Redwood Bicycle Co,INV-00056,2026-03-01,805.12,USD
PAY-0057,ORD-2026-00057,Northstar Books,INV-00057,2026-03-02,108.72,USD
PAY-0058,ORD-2026-00058,Cedar & Finch Market,INV-00058,2026-03-03,799.10,USD
PAY-0059,ORD-2026-00059,Blue Harbor Supplies,INV-00059,2026-03-04,770.07,USD
PAY-0060,ORD-2026-00060,Maple Street Cafe,INV-00060,2026-03-05,182.78,USD
PAY-0061,ORD-2026-00061,Silverline Software,INV-00061,2026-03-06,463.17,USD
PAY-0062,ORD-2026-00062,Bright Orchard Goods,INV-00062,2026-03-07,441.08,USD
PAY-0063,ORD-2026-00063,Juniper Home Studio,INV-00063,2026-03-08,705.51,USD
PAY-0064,ORD-2026-00064,Redwood Bicycle Co,INV-00064,2026-03-09,763.66,USD
PAY-0065,ORD-2026-00065,Northstar Books,INV-00065,2026-03-10,810.10,USD
PAY-0066,ORD-2026-00066,Cedar & Finch Market,INV-00066,2026-03-11,292.09,USD
PAY-0067,ORD-2026-00067,Blue Harbor Supplies,INV-00067,2026-03-12,463.86,USD
PAY-0068,ORD-2026-00068,Maple Street Cafe,INV-00068,2026-03-13,303.40,USD
PAY-0069,ORD-2026-00069,Silverline Software,INV-00069,2026-03-14,657.04,USD
PAY-0070,ORD-2026-00070,Bright Orchard Goods,INV-00070,2026-03-15,213.24,USD
PAY-0071,ORD-2026-00071,Juniper Home Studio,INV-00071,2026-03-16,120.68,USD
PAY-0072,ORD-2026-00072,Redwood Bicycle Co,INV-00072,2026-03-17,614.11,USD
PAY-0073,ORD-2026-00073,Northstar Books,INV-00073,2026-03-18,735.34,USD
PAY-0074,ORD-2026-00074,Cedar & Finch Market,INV-00074,2026-03-19,457.65,USD
PAY-0075,ORD-2026-00075,Blue Harbor Supplies,INV-00075,2026-03-20,243.02,USD
PAY-0076,ORD-2026-00076,Maple Street Cafe,INV-00076,2026-03-21,228.42,USD
PAY-0077,ORD-2026-00077,Silverline Software,INV-00077,2026-03-22,314.71,USD
PAY-0078,ORD-2026-00078,Bright Orchard Goods,INV-00078,2026-03-23,291.54,USD
PAY-0079,ORD-2026-00079,Juniper Home Studio,INV-00079,2026-03-24,89.52,USD
PAY-0080,ORD-2026-00080,Redwood Bicycle Co,INV-00080,2026-03-25,828.03,USD
PAY-0081,ORD-2026-00081,Northstar Books,INV-00081,2026-03-26,769.80,USD
PAY-0082,ORD-2026-00082,Cedar & Finch Market,INV-00082,2026-03-27,548.22,USD
PAY-0083,ORD-2026-00083,Blue Harbor Supplies,INV-00083,2026-03-28,590.13,USD
PAY-0084,ORD-2026-00084,Maple Street Cafe,INV-00084,2026-03-29,143.73,USD
PAY-0085,ORD-2026-00085,Silverline Software,INV-00085,2026-03-30,694.79,USD
PAY-0086,ORD-2026-00086,Bright Orchard Goods,INV-00086,2026-03-31,307.89,USD
PAY-0087,ORD-2026-00087,Juniper Home Studio,INV-00087,2026-04-01,470.12,USD
PAY-0088,ORD-2026-00088,Redwood Bicycle Co,INV-00088,2026-04-02,109.19,USD
PAY-0089,ORD-2026-00089,Northstar Books,INV-00089,2026-04-03,81.35,USD
PAY-0090,ORD-2026-00090,Cedar & Finch Market,INV-00090,2026-04-04,828.13,USD
PAY-0091,ORD-2026-00091,Blue Harbor Supplies,INV-00091,2026-04-05,811.19,USD
PAY-0092,ORD-2026-00092,Maple Street Cafe,INV-00092,2026-04-06,161.50,USD
PAY-0093,ORD-2026-00093,Silverline Software,INV-00093,2026-04-07,257.46,USD
PAY-0094,ORD-2026-00094,Bright Orchard Goods,INV-00094,2026-04-08,107.40,USD
PAY-0095,ORD-2026-00095,Juniper Home Studio,INV-00095,2026-04-09,17.18,USD
PAY-0096,ORD-2026-00096,Redwood Bicycle Co,INV-00096,2026-04-10,53.40,USD
PAY-0097,ORD-2026-00097,Northstar Books,INV-00097,2026-04-11,461.11,USD
PAY-0098,ORD-2026-00098,Cedar & Finch Market,INV-00098,2026-04-12,456.25,USD
PAY-0099,ORD-2026-00099,Blue Harbor Supplies,INV-00099,2026-04-13,748.52,USD
PAY-0100,ORD-2026-00100,Maple Street Cafe,INV-00100,not-a-date,unknown,USD
