bank_transaction_id,transaction_reference,merchant_name,transaction_date,amount,currency,transaction_type
BANK-0044,ORD-2026-00044,Maple Street Cafe,2026-02-17,181.74,USD,credit
BANK-0045,ORD-2026-00045,Silverline Software,2026-02-18,276.16,USD,credit
BANK-0046,ORD-2026-00046,Bright Orchard Goods,2026-02-19,561.65,USD,credit
BANK-0047,ORD-2026-00047,Juniper Home Studio,2026-02-20,712.76,USD,credit
BANK-0048,ORD-2026-00048,Redwood Bicycle Co,2026-02-21,788.68,USD,credit
BANK-0049,ORD-2026-00049,Northstar Books,2026-02-22,616.74,USD,credit
BANK-0050,ORD-2026-00050,Cedar & Finch Market,2026-02-23,611.48,USD,credit
BANK-0051,ORD-2026-00051X,Blue Harb0r Supplies,2026-02-25,244.63,USD,credit
BANK-0052,ORD-2026-00052X,Maple Street Cafe,2026-02-26,758.77,USD,credit
BANK-0053,ORD-2026-00053X,Silverline S0ftware,2026-02-27,317.04,USD,credit
BANK-0054,ORD-2026-00054X,Bright Orchard G0ods,2026-02-28,462.74,USD,credit
BANK-0055,ORD-2026-00055X,Juniper H0me Studio,2026-03-01,770.99,USD,credit
BANK-0056,ORD-2026-00056X,Redw0od Bicycle Co,2026-03-02,781.47,USD,credit
BANK-0057,ORD-2026-00057X,N0rthstar Books,2026-03-03,105.27,USD,credit
BANK-0058,ORD-2026-00058X,Cedar & Finch Market,2026-03-04,775.63,USD,credit
BANK-0059,ORD-2026-00059X,Blue Harb0r Supplies,2026-03-05,747.44,USD,credit
BANK-0060,ORD-2026-00060X,Maple Street Cafe,2026-03-06,177.18,USD,credit
BANK-0061,ord 2026 00061,Silverline Software,2026-03-06,449.44,USD,credit
BANK-0062,ord 2026 00062,Bright Orchard Goods,2026-03-07,427.99,USD,credit
BANK-0063,ord 2026 00063,Juniper Home Studio,2026-03-08,684.75,USD,credit
BANK-0064,ord 2026 00064,Redwood Bicycle Co,2026-03-09,741.21,USD,credit
BANK-0065,ord 2026 00065,Northstar Books,2026-03-10,786.31,USD,credit
BANK-0066,ORD-2026-00066,Cedar & Finch Market,2026-03-11,283.32,USD,credit
BANK-0067,ORD-2026-00067,Blue Harboor Supplies,2026-03-12,450.11,USD,credit
BANK-0068,ORD-2026-00068,Maple Street Cafe,2026-03-13,294.30,USD,credit
BANK-0069,ORD-2026-00069,Silverline Sooftware,2026-03-14,637.69,USD,credit
BANK-0070,ORD-2026-00070,Bright Orchard Gooods,2026-03-15,206.76,USD,credit
BANK-0071,ORD-2026-00071,Juniper Home Studio,2026-03-20,116.88,USD,credit
BANK-0072,ORD-2026-00072,Redwood Bicycle Co,2026-03-21,596.00,USD,credit
BANK-0073,ORD-2026-00073,Northstar Books,2026-03-22,713.72,USD,credit
BANK-0074,ORD-2026-00074,Cedar & Finch Market,2026-03-23,444.08,USD,credit
BANK-0075,ORD-2026-00075,Blue Harbor Supplies,2026-03-24,235.67,USD,credit
BANK-0076,ORD-2026-00076,Maple Street Cafe,2026-03-21,221.48,USD,credit
BANK-0077,ORD-2026-00077,Silverline Software,2026-03-22,305.26,USD,credit
BANK-0078,ORD-2026-00078,Bright Orchard Goods,2026-03-23,282.77,USD,credit
BANK-0079,ORD-2026-00079,Juniper Home Studio,2026-03-24,86.60,USD,credit
BANK-0080,ORD-2026-00080,Redwood Bicycle Co,2026-03-25,803.70,USD,credit
BANK-0089,ORD-2026-00089,Northstar Books,2026-04-03,78.69,USD,credit
BANK-DUP-0089,ORD-2026-00089,Northstar Books,2026-04-03,78.69,USD,credit
BANK-0090,ORD-2026-00090,Cedar & Finch Market,2026-04-04,803.81,USD,credit
BANK-DUP-0090,ORD-2026-00090,Cedar & Finch Market,2026-04-04,803.81,USD,credit
BANK-0091,ORD-2026-00091,Blue Harbor Supplies,2026-04-05,787.37,USD,credit
BANK-DUP-0091,ORD-2026-00091,Blue Harbor Supplies,2026-04-05,787.37,USD,credit
BANK-0092,ORD-2026-00092,Maple Street Cafe,2026-04-06,156.52,USD,credit
BANK-DUP-0092,ORD-2026-00092,Maple Street Cafe,2026-04-06,156.52,USD,credit
BANK-0093,ORD-2026-00093,Silverline Software,2026-04-07,249.69,USD,credit
BANK-DUP-0093,ORD-2026-00093,Silverline Software,2026-04-07,249.69,USD,credit
BANK-0094,ORD-2026-00094,Bright Orchard Goods,2026-04-08,103.99,USD,credit
BANK-0095,ORD-2026-00095,Juniper Home Studio,2026-04-09,16.38,USD,credit
BANK-0096,ORD-2026-00096,Redwood Bicycle Co,2026-04-10,51.55,USD,credit
BANK-0097,ORD-2026-00097,Northstar Books,2026-04-11,447.44,USD,credit
BANK-CAND-0097,ORD-2026-00097,Northstar Books,2026-04-11,447.45,USD,credit
BANK-0098,ORD-2026-00098,Cedar & Finch Market,2026-04-12,442.72,USD,credit
BANK-CAND-0098,ORD-2026-00098,Cedar & Finch Market,2026-04-12,442.73,USD,credit
BANK-0099,ORD-2026-00099,Blue Harbor Supplies,2026-04-13,726.51,USD,credit
BANK-CAND-0099,ORD-2026-00099,Blue Harbor Supplies,2026-04-13,726.52,USD,credit
BANK-0100,ORD-2026-00100,Maple Street Cafe,2026-04-14,728.51,USD,credit
