settlement_id,payment_id,settlement_date,gross_amount,processing_fee,net_amount,currency
SET-0053,PAY-0053,2026-02-28,326.82,9.78,317.04,USD
SET-0054,PAY-0054,2026-03-01,476.87,14.13,462.74,USD
SET-0055,PAY-0055,2026-03-02,794.33,23.34,770.99,USD
SET-0056,PAY-0056,2026-03-03,805.12,23.65,781.47,USD
SET-0057,PAY-0057,2026-03-04,108.72,3.45,105.27,USD
SET-0058,PAY-0058,2026-03-05,799.10,23.47,775.63,USD
SET-0059,PAY-0059,2026-03-06,770.07,22.63,747.44,USD
SET-0060,PAY-0060,2026-03-07,182.78,5.60,177.18,USD
SET-0061,PAY-0061,2026-03-08,463.17,13.73,449.44,USD
SET-0062,PAY-0062,2026-03-09,441.08,13.09,427.99,USD
SET-0063,PAY-0063,2026-03-10,705.51,20.76,684.75,USD
SET-0064,PAY-0064,2026-03-11,763.66,22.45,741.21,USD
SET-0065,PAY-0065,2026-03-12,810.10,23.79,786.31,USD
SET-0066,PAY-0066,2026-03-13,292.09,8.77,283.32,USD
SET-0067,PAY-0067,2026-03-14,463.86,13.75,450.11,USD
SET-0068,PAY-0068,2026-03-15,303.40,9.10,294.30,USD
SET-0069,PAY-0069,2026-03-16,657.04,19.35,637.69,USD
SET-0070,PAY-0070,2026-03-17,213.24,6.48,206.76,USD
SET-0071,PAY-0071,2026-03-18,120.68,3.80,116.88,USD
SET-0072,PAY-0072,2026-03-19,614.11,18.11,596.00,USD
SET-0073,PAY-0073,2026-03-20,735.34,21.62,713.72,USD
SET-0074,PAY-0074,2026-03-21,457.65,13.57,444.08,USD
SET-0075,PAY-0075,2026-03-22,243.02,7.35,235.67,USD
SET-0076,PAY-0076,2026-03-23,228.42,6.92,221.50,USD
SET-0077,PAY-0077,2026-03-24,314.71,9.43,305.28,USD
SET-0078,PAY-0078,2026-03-25,291.54,8.75,282.79,USD
SET-0079,PAY-0079,2026-03-26,89.52,2.90,86.62,USD
SET-0080,PAY-0080,2026-03-27,828.03,24.31,803.72,USD
SET-0081,PAY-0081,2026-03-28,769.80,22.62,747.18,USD
SET-0082,PAY-0082,2026-03-29,548.22,16.20,532.02,USD
SET-0083,PAY-0083,2026-03-30,590.13,17.41,572.72,USD
SET-0084,PAY-0084,2026-03-31,143.73,4.47,139.26,USD
SET-0085,PAY-0085,2026-04-01,694.79,20.45,674.34,USD
SET-0086,PAY-0086,2026-04-02,307.89,9.23,298.66,USD
SET-0087,PAY-0087,2026-04-03,470.12,13.93,456.19,USD
SET-0088,PAY-0088,2026-04-04,109.19,3.47,105.72,USD
SET-0089,PAY-0089,2026-04-05,81.35,2.66,78.69,USD
SET-0090,PAY-0090,2026-04-06,828.13,24.32,803.81,USD
SET-0091,PAY-0091,2026-04-07,811.19,23.82,787.37,USD
SET-0092,PAY-0092,2026-04-08,161.50,4.98,156.52,USD
SET-0093,PAY-0093,2026-04-09,257.46,7.77,249.69,USD
SET-0094,PAY-0094,2026-04-10,64.44,3.41,61.03,USD
SET-0095,PAY-0095,2026-04-11,10.31,0.80,9.51,USD
SET-0096,PAY-0096,2026-04-12,32.04,1.85,30.19,USD
SET-0097,PAY-0097,2026-04-13,461.11,13.67,447.44,USD
SET-0098,PAY-0098,2026-04-14,456.25,13.53,442.72,USD
SET-0099,PAY-0099,2026-04-15,748.52,22.01,726.51,USD
SET-0100,PAY-0100,2026-04-16,N/A,22.07,728.51,USD
